trade_date,open,high,low,close,vol,amount,adj_factor
20240614,46.9,47.09,46.08,46.49,430889.38,2003901.881,1.0
20240617,46.4,47.99,46.3,47.77,371983.88,1763212.921,1.0
20240618,47.88,48.8,47.76,48.13,346620.24,1672916.508,1.0
20240619,48.1,48.29,46.88,47.53,312582.36,1486601.587,1.0
20240620,47.45,49.91,47.37,48.8,591655.7,2896892.544,1.0
20240621,48.34,48.78,47.47,48.75,306604.83,1476110.93,1.0
20240624,48.6,49.76,47.18,47.26,410177.58,1980534.764,1.0
20240625,47.04,47.39,45.26,45.54,431295.36,1991141.725,1.0
20240626,45.95,46.78,45.42,46.47,254825.4,1173593.026,1.0
20240627,46.17,46.45,45.58,45.71,187443.35,861865.907,1.0
20240628,45.52,46.42,45.51,46.1,218019.68,1004720.178,1.0
20240701,46.18,46.42,44.93,45.81,218020.59,993307.678,1.0
20240702,45.7,46.05,45.31,45.46,192229.55,878101.405,1.0
20240703,45.55,46.74,45.01,46.26,278849.44,1284325.193,1.0
20240704,46.1,46.87,46.03,46.16,214786.38,997203.926,1.0
20240705,46.02,46.67,45.21,46.64,229884.22,1057957.179,1.0
20240708,46.55,47.3,46.35,46.7,238544.12,1116722.765,1.0
20240709,46.55,48.56,46.55,48.16,360703.97,1723195.832,1.0
20240710,47.88,48.3,47.7,47.99,195772.57,938670.284,1.0
20240711,48.47,49.22,48.11,48.27,299907.58,1457020.915,1.0
20240712,47.9,48.83,47.42,48.64,220728.14,1062200.327,1.0
20240715,48.68,49.36,48.65,48.94,200876.97,984327.142,1.0
20240716,48.7,49.28,47.93,49.2,305539.37,1486489.079,1.0
20240717,49.08,49.1,48.36,48.36,231865.59,1130433.688,1.0
20240718,47.33,49.1,47.06,48.75,291436.85,1403929.792,1.0
20240719,48.5,51.35,48.34,51.2,608623.71,3061367.372,1.0
20240722,50.9,51.45,50.65,50.98,305579.78,1557926.564,1.0
20240723,51.0,51.35,49.18,49.28,334543.65,1681684.846,1.0
20240724,49.34,49.89,48.7,48.85,245582.22,1210342.555,1.0
20240725,48.6,49.53,48.11,48.7,206799.53,1009487.465,1.0
20240726,48.68,49.76,48.6,49.75,180694.79,888744.371,1.0
20240729,49.59,49.98,46.53,46.7,369941.24,1775575.236,1.0
20240730,46.68,47.88,46.6,47.6,221183.92,1046826.682,1.0
20240731,47.51,49.2,47.5,49.1,207143.13,1006957.513,1.0
20240801,48.99,49.79,48.9,49.11,161893.4,798449.129,1.0
20240802,48.61,49.22,48.1,48.42,193644.43,938769.737,1.0
20240805,47.95,48.48,47.0,47.29,233085.4,1111376.069,1.0
20240806,47.7,47.96,46.3,47.27,177103.37,832925.225,1.0
20240807,47.4,47.56,47.1,47.22,87377.59,413822.927,1.0
20240808,47.01,47.9,46.76,47.48,125731.62,595635.655,1.0
20240809,49.5,49.81,48.47,48.49,271805.1,1334185.24,1.0
20240812,48.35,48.98,48.0,48.78,144573.35,702854.845,1.0
20240813,48.8,49.2,48.74,49.2,142118.85,696438.78,1.0
20240814,49.3,49.46,48.8,48.95,130242.39,640093.246,1.0
20240815,48.61,49.75,48.56,49.68,185119.67,914564.799,1.0
20240816,49.63,49.73,49.07,49.46,118402.55,584952.106,1.0
20240819,49.49,49.98,49.14,49.46,106590.7,529011.501,1.0
20240820,49.46,49.59,48.47,48.75,142708.64,697840.374,1.0
20240821,48.75,48.98,47.76,47.78,142468.89,687626.381,1.0
20240822,47.6,47.85,46.03,46.54,234637.83,1094773.982,1.0
20240823,46.5,47.2,46.12,47.13,130266.43,609961.822,1.0
20240826,47.12,47.45,46.88,47.35,89835.8,424194.788,1.0
