trade_date,open,high,low,close,vol,amount,adj_factor
20240410,214.3,214.5,210.0,211.84,72410.85,1537375.543,1.0
20240411,209.0,215.44,207.8,212.98,100853.95,2130444.828,1.0
20240412,212.0,217.19,209.54,210.6,114917.89,2453371.047,1.0
20240415,210.0,215.5,209.09,213.62,113331.92,2418635.357,1.0
20240416,212.4,215.35,210.71,211.63,98323.04,2090984.65,1.0
20240417,211.0,213.18,209.6,213.0,96921.62,2046775.945,1.0
20240418,212.0,216.5,209.4,213.6,133997.56,2863779.538,1.0
20240419,212.19,212.87,207.06,210.13,111770.43,2342512.356,1.0
20240422,210.0,211.53,208.1,208.56,64694.78,1353615.963,1.0
20240423,208.55,208.56,203.99,205.04,87299.94,1793533.843,1.0
20240424,206.89,208.8,204.5,207.42,74978.92,1546983.916,1.0
20240425,207.4,211.51,206.62,208.94,94683.84,1980120.669,1.0
20240426,210.0,219.76,210.0,219.37,253453.78,5502292.294,1.0
20240429,221.08,225.4,218.73,221.38,191675.93,4256800.048,1.0
20240430,223.5,224.38,218.5,218.5,115559.66,2542063.035,1.0
20240506,225.0,228.39,223.5,226.3,186778.87,4226418.539,1.0
20240507,226.3,231.99,224.04,229.88,144190.48,3301364.34,1.0
20240508,228.54,228.88,226.0,226.23,91131.78,2070673.827,1.0
20240509,226.3,228.4,226.15,228.15,79007.35,1796491.173,1.0
20240510,227.0,229.52,226.0,227.8,80613.3,1833828.036,1.0
20240513,225.2,227.36,222.58,225.7,82481.16,1857506.899,1.0
20240514,225.71,227.57,224.11,224.91,62618.53,1414943.425,1.0
20240515,224.5,226.0,218.3,219.14,99733.51,2204936.673,1.0
20240516,219.15,219.96,216.61,218.31,87157.22,1901165.662,1.0
20240517,219.39,220.33,217.66,219.59,71486.66,1564639.158,1.0
20240520,218.48,224.0,218.48,222.87,75958.57,1688534.368,1.0
20240521,221.98,221.99,217.42,218.78,84080.43,1838619.341,1.0
20240522,218.19,219.5,215.16,216.92,88398.17,1916325.81,1.0
20240523,215.85,215.85,213.51,214.95,62287.23,1336506.237,1.0
20240524,213.98,214.0,208.8,209.3,102875.52,2166851.356,1.0
20240527,210.0,210.8,206.6,208.35,76045.51,1580461.907,1.0
20240528,208.8,208.91,206.58,207.38,60946.46,1265112.511,1.0
20240529,211.0,226.0,210.99,224.7,302647.77,6633165.251,1.0
20240530,224.42,229.38,223.9,227.86,223791.81,5070762.671,1.0
20240531,228.8,231.6,226.99,229.02,185429.84,4264400.522,1.0
20240603,229.01,240.48,225.99,237.1,270145.89,6370453.739,1.0
20240604,236.9,239.8,235.95,238.15,157429.16,3744672.01,1.0
20240605,238.48,246.3,238.48,240.79,194433.95,4732184.009,1.0
20240606,241.2,243.8,237.5,238.5,175865.42,4227834.836,1.0
20240607,239.03,241.39,232.13,235.5,182593.98,4304211.409,1.0
20240611,234.63,246.0,234.33,244.63,221596.93,5386278.076,1.0
20240612,241.63,247.55,241.63,242.9,187331.97,4573251.957,1.0
20240613,248.8,258.28,248.11,252.99,292519.28,7423395.27,1.0
20240614,251.48,253.93,246.53,253.05,202609.76,5066109.117,1.0
20240617,252.0,259.87,250.87,257.21,208648.8,5371512.6,1.0
20240618,255.6,257.3,253.0,255.64,128789.11,3282495.367,1.0
20240619,256.0,258.0,253.41,254.0,99108.11,2529117.364,1.0
20240620,252.88,253.77,249.3,251.5,116199.94,2921098.948,1.0
20240621,251.99,254.37,247.81,250.67,116330.12,2916085.594,1.0
20240624,250.0,253.98,247.78,249.94,108423.02,2719528.81,1.0
20240625,252.0,258.74,250.36,254.01,195746.43,4998561.939,1.0
20240626,252.0,254.3,249.38,252.72,111916.76,2814435.214,1.0
20240627,251.02,252.36,248.42,249.5,82910.84,2074271.452,1.0
20240628,248.0,252.13,246.88,250.25,92982.07,2324520.984,1.0
20240701,250.25,251.85,242.5,246.8,129273.32,3179627.87,1.0
20240702,246.87,247.7,243.05,243.97,102627.37,2515326.295,1.0
20240703,243.96,245.38,240.0,243.1,96574.03,2340645.421,1.0
20240704,245.0,249.69,244.5,244.63,99196.34,2449191.851,1.0
20240705,243.17,244.5,238.88,242.03,95664.78,2308221.433,1.0
20240708,241.8,248.22,241.18,244.99,105374.66,2591239.967,1.0
20240709,245.2,253.51,241.51,252.6,140762.55,3506898.661,1.0
20240710,252.49,256.53,251.5,252.5,109282.56,2767913.672,1.0
20240711,255.0,256.26,251.68,253.06,100359.45,2546645.362,1.0
20240712,253.52,264.0,251.89,262.62,188863.22,4891988.725,1.0
20240715,262.3,264.8,260.61,261.71,98715.52,2590423.502,1.0
20240716,260.61,262.2,256.35,258.99,117587.68,3043326.156,1.0
20240717,259.0,261.52,256.62,259.51,105191.71,2726321.475,1.0
20240718,257.9,262.9,257.51,261.43,95322.04,2487441.704,1.0
20240719,260.5,266.0,259.74,264.06,136213.79,3593320.512,1.0
20240722,264.1,270.1,264.1,265.61,100749.55,2688874.276,1.0
20240723,264.99,265.41,253.0,253.23,167410.49,4318283.785,1.0
20240724,253.23,255.15,248.49,249.99,118640.05,2976544.505,1.0
20240725,249.97,254.54,247.5,250.39,101104.2,2533958.369,1.0
20240726,252.97,257.63,251.15,254.95,124841.65,3180235.007,1.0
20240729,252.93,253.0,246.58,249.1,78859.32,1960649.994,1.0
20240730,247.59,247.8,241.62,243.91,110393.39,2686057.414,1.0
20240731,242.61,248.02,242.57,247.05,87490.03,2153504.528,1.0
20240801,248.0,248.74,240.0,244.2,103634.88,2519341.335,1.0
20240802,241.99,242.26,234.6,234.78,145671.17,3453944.603,1.0
20240805,230.84,236.67,230.01,231.18,105268.35,2457359.662,1.0
20240806,234.0,234.62,225.98,228.94,129101.51,2955783.827,1.0
20240807,229.04,231.0,226.47,228.95,82021.86,1882919.963,1.0
20240808,227.8,227.8,223.5,226.45,85357.41,1925911.439,1.0
20240809,228.06,235.88,228.04,231.62,119852.18,2790790.707,1.0
20240812,232.01,233.49,229.5,230.4,53779.01,1242071.532,1.0
20240813,230.36,230.39,226.0,228.73,60436.5,1378452.593,1.0
20240814,228.6,228.6,225.2,226.6,56329.85,1276584.732,1.0
20240815,226.57,232.5,224.88,231.49,88545.38,2039684.342,1.0
20240816,232.11,238.32,230.5,235.11,102218.58,2406276.094,1.0
20240819,235.25,238.98,235.01,235.42,70182.42,1662452.527,1.0
20240820,236.0,237.33,233.43,236.48,62484.22,1475807.676,1.0
20240821,234.66,243.13,232.0,241.0,111043.38,2658947.674,1.0
20240822,241.0,242.77,239.62,240.52,62488.45,1506260.848,1.0
20240823,239.8,241.3,238.15,239.34,49786.02,1193437.03,1.0
20240826,239.5,243.0,237.71,239.41,56513.42,1354660.288,1.0
20240827,237.51,241.28,236.5,240.8,50926.46,1219258.016,1.0
20240828,240.27,240.28,232.8,236.85,89040.7,2098577.19,1.0
20240829,233.33,236.5,231.3,234.85,79384.87,1858678.051,1.0
20240830,237.98,251.79,237.26,249.42,193027.92,4764660.206,1.0
20240902,248.02,250.42,241.0,241.1,101134.82,2468600.915,1.0
20240903,240.4,247.45,240.4,247.08,101819.9,2497421.913,1.0
20240904,245.5,251.9,245.44,250.32,100605.96,2506778.351,1.0
20240905,250.0,255.6,249.6,252.85,100125.55,2542189.363,1.0
20240906,252.86,255.1,251.42,251.6,78141.52,1982245.013,1.0
20240909,249.48,253.96,248.58,249.98,70851.26,1774845.244,1.0
20240910,250.0,252.8,248.62,249.65,61248.29,1533462.724,1.0
20240911,250.0,260.6,249.44,258.1,155361.48,4001603.969,1.0
20240912,258.7,260.0,257.0,257.01,77251.08,1995755.899,1.0
20240913,257.2,258.0,254.85,254.99,56991.61,1458587.906,1.0
20240918,255.02,259.33,254.1,258.43,66819.81,1715595.538,1.0
20240919,259.01,259.38,253.3,255.36,91043.23,2326365.319,1.0
20240920,255.38,258.8,252.88,256.1,89897.93,2292829.765,1.0
20240923,255.95,256.96,248.79,250.0,107582.73,2712153.56,1.0
20240924,253.0,255.5,246.76,254.29,156494.54,3949080.823,1.0
20240925,258.0,269.66,257.66,262.8,205710.34,5442651.982,1.0
20240926,264.0,269.7,262.1,269.61,149066.41,3960197.854,1.0
20240927,273.0,291.99,271.5,283.99,309922.4,8683447.958,1.0
20240930,290.0,308.08,290.0,307.31,388804.59,11640545.413,1.0
20241008,338.04,338.04,307.31,327.38,443439.39,14484952.068,1.0
20241009,315.0,320.71,300.5,305.69,325918.58,10166970.123,1.0
20241010,310.0,322.0,309.98,315.89,250166.87,7918647.496,1.0
20241011,314.02,314.02,296.01,300.05,186418.49,5671879.377,1.0
20241014,300.99,309.98,300.2,307.0,172364.82,5268100.405,1.0
20241015,305.5,308.38,298.0,298.0,122149.02,3695577.335,1.0
20241016,293.0,295.98,287.0,289.79,150321.87,4362898.827,1.0
20241017,292.51,297.85,289.12,289.42,102456.54,3005198.74,1.0
20241018,289.45,306.2,288.08,300.3,191092.42,5674148.205,1.0
20241021,303.0,308.6,300.9,306.45,157816.02,4819617.233,1.0
20241022,305.0,310.12,303.0,304.75,103732.66,3174859.559,1.0
20241023,304.75,311.8,302.68,308.88,126695.0,3911383.612,1.0
20241024,308.88,309.97,302.58,303.68,96885.14,2959755.261,1.0
20241025,304.0,311.8,304.0,308.14,139820.37,4306245.201,1.0
20241028,309.0,309.0,301.75,305.1,109324.39,3323177.977,1.0
20241029,309.0,310.28,303.8,305.4,118545.61,3635542.203,1.0
20241030,303.0,307.51,301.5,305.55,108448.2,3301164.357,1.0
20241031,302.01,302.99,293.0,293.19,240851.99,7127704.551,1.0
20241101,293.2,295.6,290.1,290.31,143040.86,4174457.395,1.0
20241104,296.0,308.92,295.61,306.98,217318.89,6600399.617,1.0
20241105,304.06,308.44,300.5,307.5,167819.98,5124245.709,1.0
20241106,308.0,309.75,298.0,300.36,184861.2,5611830.834,1.0
20241107,295.03,301.88,294.0,301.78,150675.92,4484370.172,1.0
20241108,307.12,307.52,297.0,297.9,166715.72,5022195.686,1.0
20241111,295.0,299.47,292.6,299.29,180859.3,5349190.917,1.0
20241112,300.15,310.0,299.31,300.81,246557.46,7520312.654,1.0
20241113,298.0,301.33,295.3,300.57,145115.79,4326957.544,1.0
20241114,300.0,300.3,294.0,294.75,124582.9,3690676.831,1.0
20241115,294.79,295.79,288.02,290.0,153235.94,4471450.174,1.0
20241118,290.01,292.95,286.66,288.68,116205.95,3364288.894,1.0
20241119,288.68,291.48,282.02,287.99,131946.69,3785016.71,1.0
20241120,288.01,290.4,285.5,288.46,106016.93,3049973.686,1.0
20241121,288.47,288.49,284.0,286.0,95532.94,2727230.001,1.0
20241122,285.5,285.86,278.0,278.49,125141.78,3529973.029,1.0
20241125,283.0,289.36,280.89,283.0,174533.15,4981714.332,1.0
20241126,280.0,286.0,277.88,281.01,95206.45,2686423.189,1.0
